client_id|path|sentence|up_votes|down_votes|age|gender|accents|locale|segment
15f8840a2c90eed06fb30d05b240034bc9070fcd42ec78baf7e34b93216006ec4e2b39a00786232209c779522964034a7218f89a025ef1079b51797299ddd814|common_voice_fr_32859671.mp3|Il s'agit du seizième titre de champion de Jordanie de l'histoire du club.|2|0|fifties|male||fr|
255156181eca752de2886c7a3365cb2cf7477c418819d73b33857edae7a718a272d2ab6889789021071c1701923cec8508aef57d76edff6f03033a753bae1cef|common_voice_fr_32306639.mp3|Par la suite, elle mène une vie pieuse et retirée.|2|0||||fr|
2eee621cb66148ff9e938e3104d2cee55677936e54b21372cebfa6b533bcd15e78f08d36d03601ec8135056d7427c723a4ec7029a06f92a6e47bf32cee7b2c76|common_voice_fr_32825839.mp3|Plusieurs cours d'eau parcourent le plateau et coulent généralement vers le golfe du Mexique.|2|0||||fr|
357a3b89daa6ee4766a20cba35c9e23c92ecd2fc039edf75a8c4ae7fbabd7cc096a527349e6c010bcea4418f6157b407619d87b1f3f34cd43c35cecbd5f8d009|common_voice_fr_32693598.mp3|Des travaux plus récents non plus, ainsi Kristian Hamon.|2|0||||fr|
43502a6f5ec278ff77e5e9035a08a520a7dffd0446a0902eb1f29da13bb7bc674ae2f2d4f8501e35866dd8786cda34860b9639e076502e26ffaab578962f2e04|common_voice_fr_32818381.mp3|Les armes de la famille portent d'ailleurs trois coins stylisés.|2|0||||fr|
479dae9b5be2784ae3574fc01d3332ab52eddd1d33e0eed0f5ed8f628c0e7c9abffd922024d92422657f2b722325a3c9e8685032c2fa0a56411238c8461d9de9|common_voice_fr_32795228.mp3|Celui-ci m'a donné bien du mal.|2|0||||fr|
519830a09c8ee976e57f047b7969a1d4c829217e90d169abd531ecd06a183a5b771242a2a8c680faf783e7068737c1352242e62a5500dfee385db6683a51aed9|common_voice_fr_32873899.mp3|Elle combine le swing, le boogie-woogie et la chanson napolitaine.|2|0||||fr|
5264952da060cb3031c30dccdc1c5b13e0adb6f1c0320ba7f5d733a221bf87ec31cd44e60f680588f4156f92c2875d7b365501093024378401de5d69e232a6e5|common_voice_fr_32640001.mp3|La façade nord, très abîmée, présente des vestiges d'arcatures romanes.|3|0||||fr|
5d0cf49077e8f040fa8624727ef1248db86bf90ad008d0dd6b31e844b27bb16ab8b875ca6f599a5ee685a379b92c7bd6ce4b36c150ec99f3b59d0f7cbfc9c7e0|common_voice_fr_31923224.mp3|L'un des prisonniers de Banjica était Toma Petrović, chauffeur de l'ambassadeur de Grande-Bretagne.|2|0||||fr|
602ec9dbe696fdcd282755527567cb1a2fe9558d32d9cc0ddcb5a64cbfc380b712562531f12d39b5c256cc45b61d1a6577bdf6e5145efebc87784eb97b9fcb67|common_voice_fr_32486680.mp3|C'est le site d'une balançoire naturelle indiquée sur certaines vidéos YouTube.|2|0||||fr|
67ae52db234a11974c8daf9b9de4fefd8e518053954aff75aa1da729e8be2232cb67ec8a164ed5b0bf9f2994a8bd86cc205128665101f3c2a21d5578bee267b4|common_voice_fr_32851706.mp3|Ne perdons pas un instant.|2|0||||fr|
6ef04cf7cab0fe93b1f4d6bed3e9375cbc991b08c625f0b450522c41f06f2fe11caa00c43b4be49ea085591fdf13ac5d7424632a21db1063f81601d403f9601c|common_voice_fr_32706079.mp3|Apprenant qu'elle est chanteuse, le pianiste américain demande à entendre sa voix.|2|0||||fr|
a11c5b8b62d0d7e66b0842ef802618c6a71bb1ab65ea3c21ab01f77ca0214ae18aa3916402a8b29ed99f634d8723b92948bdbdf36fe043a34596e16e83a835e5|common_voice_fr_32859932.mp3|Ses fossiles ont été trouvés dans le Montana.|2|0||||fr|
a85859e1177220d38d2647edef85bd33203d78151944214f707043836784aff1e65c29cbad8ca2d8041397433e9efd674e68e53ebd397f668957845952a7b31e|common_voice_fr_32903539.mp3|Il est envoyé en mission près les armées du Rhin et du Nord.|2|0|sixties|female||fr|
e4a738ce302f1f888ac9d99dd171a02d2265dda8c558154a58e0a4885d193b90d7964cd5021dc0a8a287009b5e02b31e200f2c58a237bb834ed93b3babc3c007|common_voice_fr_32481255.mp3|Les voies nord seront réservées aux bus et les voies sud aux voitures.|2|0||||fr|
e4d024930a4a50509a2ffc75dbadb7fed6aa2f118b68e013628579ded06d07d56e39281b8451787c9b59886a042c10712722b13fc53622f7b61dc6ce470ef92f|common_voice_fr_31856652.mp3|L'église est devenue paroissiale puis un temple protestant après la Révolution.|2|0||||fr|
ff54910be726f4ad115c73a1aeeb62a710f69c83c3640171ad7fbfb07150e36a2b30af731ea92ba6fa8b5e009517c44163353778651833defdba221c60ddeb84|common_voice_fr_32833616.mp3|La vie de Robert Parsons est mal connue.|2|0|||Français du Royaume-Uni|fr|
066d9478d48297597fc2b7e6266e70e3f48b86524204230123d325b8b21cccab5a35191db73fca704cb7b813f21a2dd7af97537f92006f9823257fc56097f8ea|common_voice_fr_32510488.mp3|Les Japonais avaient donc leurs propres motifs pour propager délibérément l'usage du terme Mandchourie.|2|0||||fr|
066d9478d48297597fc2b7e6266e70e3f48b86524204230123d325b8b21cccab5a35191db73fca704cb7b813f21a2dd7af97537f92006f9823257fc56097f8ea|common_voice_fr_32510499.mp3|Il se fait plus discret par la suite.|2|0||||fr|
0e11ffbc2e6bc102abdb07c38264780657df6ecff2f79f59f72f1a4f367622d36b7d8a0c0783d5d56f51addaa1a6270bcafc38d1fd09652c11266ef43f1075c2|common_voice_fr_32674116.mp3|Le bruit de rames, qui s'était continuellement rapproché pendant ce dialogue, cessa.|2|0||||fr|
