client_id	path	sentence	up_votes	down_votes	age	gender	accents	locale	segment
33f6fd2abd59daa85993515a9f1f89a82b7db759b468f939033a4735a5ae805740c0ab4dc9380990d6d081019388c434e3f517b2b746a2150aceb33b833ac61e	common_voice_fr_32616104.mp3	Il échappe donc à l'Opération Deadlight.	2	0	fifties	male	Français de France	fr	
33f6fd2abd59daa85993515a9f1f89a82b7db759b468f939033a4735a5ae805740c0ab4dc9380990d6d081019388c434e3f517b2b746a2150aceb33b833ac61e	common_voice_fr_32616107.mp3	Peu après, elle fut renvoyée de l'opéra sous le motif qu'elle était trop grande.	2	0	fifties	male	Français de France	fr	
33f6fd2abd59daa85993515a9f1f89a82b7db759b468f939033a4735a5ae805740c0ab4dc9380990d6d081019388c434e3f517b2b746a2150aceb33b833ac61e	common_voice_fr_32616202.mp3	Il s'agit de la première transition pacifique dans le pays.	2	0	fifties	male	Français de France	fr	
33f6fd2abd59daa85993515a9f1f89a82b7db759b468f939033a4735a5ae805740c0ab4dc9380990d6d081019388c434e3f517b2b746a2150aceb33b833ac61e	common_voice_fr_32616204.mp3	Il succède ainsi à Alexandre Honoré Paka, qui devient préfet du département de Pointe-Noire.	2	0	fifties	male	Français de France	fr	
33f6fd2abd59daa85993515a9f1f89a82b7db759b468f939033a4735a5ae805740c0ab4dc9380990d6d081019388c434e3f517b2b746a2150aceb33b833ac61e	common_voice_fr_32616205.mp3	Je ne veux pas vous faire de mal, à vous.	2	0	fifties	male	Français de France	fr	
33f6fd2abd59daa85993515a9f1f89a82b7db759b468f939033a4735a5ae805740c0ab4dc9380990d6d081019388c434e3f517b2b746a2150aceb33b833ac61e	common_voice_fr_32616281.mp3	Elle publie également de nombreuses monographies, parmi lesquelles.	2	0	fifties	male	Français de France	fr	
33f6fd2abd59daa85993515a9f1f89a82b7db759b468f939033a4735a5ae805740c0ab4dc9380990d6d081019388c434e3f517b2b746a2150aceb33b833ac61e	common_voice_fr_32616284.mp3	Le Groezrock s'y déroule chaque année.	2	0	fifties	male	Français de France	fr	
33f6fd2abd59daa85993515a9f1f89a82b7db759b468f939033a4735a5ae805740c0ab4dc9380990d6d081019388c434e3f517b2b746a2150aceb33b833ac61e	common_voice_fr_32616289.mp3	Le triangle vert représente l'agriculture, l'idée d'une terre fertile.	2	0	fifties	male	Français de France	fr	
33f6fd2abd59daa85993515a9f1f89a82b7db759b468f939033a4735a5ae805740c0ab4dc9380990d6d081019388c434e3f517b2b746a2150aceb33b833ac61e	common_voice_fr_32616294.mp3	Tout comme l'année précédente, le concours est ouvert exclusivement aux Norvégiens.	3	0	fifties	male	Français de France	fr	
33f6fd2abd59daa85993515a9f1f89a82b7db759b468f939033a4735a5ae805740c0ab4dc9380990d6d081019388c434e3f517b2b746a2150aceb33b833ac61e	common_voice_fr_32616372.mp3	Mais pour activer l'arme, celui-ci doit se procurer la clef que garde Martian Manhunter.	2	0	fifties	male	Français de France	fr	
33f6fd2abd59daa85993515a9f1f89a82b7db759b468f939033a4735a5ae805740c0ab4dc9380990d6d081019388c434e3f517b2b746a2150aceb33b833ac61e	common_voice_fr_32616374.mp3	La ville tire son nom du lac George.	2	0	fifties	male	Français de France	fr	
33f6fd2abd59daa85993515a9f1f89a82b7db759b468f939033a4735a5ae805740c0ab4dc9380990d6d081019388c434e3f517b2b746a2150aceb33b833ac61e	common_voice_fr_32616375.mp3	En effet Gaïus fait d'abord une introduction sur les sources du droit.	2	0	fifties	male	Français de France	fr	
33f6fd2abd59daa85993515a9f1f89a82b7db759b468f939033a4735a5ae805740c0ab4dc9380990d6d081019388c434e3f517b2b746a2150aceb33b833ac61e	common_voice_fr_32616486.mp3	Art Spiegelman naît le à Stockholm en Suède.	2	0	fifties	male	Français de France	fr	
33f6fd2abd59daa85993515a9f1f89a82b7db759b468f939033a4735a5ae805740c0ab4dc9380990d6d081019388c434e3f517b2b746a2150aceb33b833ac61e	common_voice_fr_32616488.mp3	Elle se maintient dans les villes sur les friches temporaires.	2	0	fifties	male	Français de France	fr	
33f6fd2abd59daa85993515a9f1f89a82b7db759b468f939033a4735a5ae805740c0ab4dc9380990d6d081019388c434e3f517b2b746a2150aceb33b833ac61e	common_voice_fr_32616529.mp3	L’extrême amertume de cette substance ne pouvait le tromper	2	0	fifties	male	Français de France	fr	
